"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31996L0065","1996-10-11","1996-10-21","1999-07-29","48ed0d72-19be-421b-a3a6-9db2468bcf3a","31988L0379","A06","false","1998-05-31"
"31971L0140","1971-03-22","1971-03-24","9999-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"true","1972-07-01"
"32001L0045","2001-06-27","2001-07-19","2009-10-22","474447a2-317d-4e3d-943f-f3fca2ee18ea","11997E137","P2","false",NA
"32001L0026","2001-05-07","2001-06-23","2022-11-12","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false",NA
"32001L0002","2001-01-04","2001-01-17","9999-12-31","5c542b54-fd84-4d46-9f34-a5f20881aa58","31999L0036","A14","true",NA
"32002L0050","2002-06-06","2002-06-27","2011-06-30","5c542b54-fd84-4d46-9f34-a5f20881aa58","31999L0036","A14","false",NA
"32001L0093","2001-11-09","2001-12-21","2009-03-07","489b38d0-82a4-4e51-a67e-1c0d9566c899","31991L0630","A05","false",NA
"31987L0244","1987-04-23","1987-04-24","1991-05-18","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false",NA
"31975L0276","1975-04-28","1975-04-30","1984-03-02","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","false",NA
"31982L0148","1982-03-03","1982-03-05","2001-07-25","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3PTG","false",NA
"31974L0411","1974-08-01","1974-08-01","2003-08-03","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31981L1060","1981-12-14","1981-12-31","1981-05-31","b2387d0d-2f0a-4ed4-a8b7-0b9227690cd7","11957E213",NA,"false",NA
"31996L0049(02)","2004-04-26",NA,NA,NA,NA,NA,NA,NA
"31988L0642","1988-12-16","1988-12-21","2001-05-05","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1990-12-21"
"31990L0488","1990-09-17","1990-09-25","2009-10-27","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1991-07-01"
"32006L0117","2006-11-20","2006-12-25","9999-12-31","f1d1cead-ee6c-402d-8eee-de39a9c136dd","11957A031","L2","true","2008-12-24"
"32006L0031","2006-04-05","2006-04-28","2018-01-02","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2","false","2007-01-31"
"31986L0216","1986-05-26","1986-05-30","1990-11-01","e1da8614-4bbc-4bbb-810b-25f4ca287ce0","11957E084","P2","false","1986-06-30"
"31982L0893","1982-12-21","1982-12-29","2021-04-20","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1983-01-01"
